first_name,last_name,date_of_birth,gender,ssn,address,state,zip_code,income,credit_score,employment_status,loan_amount,loan_type,loan_status,num_existing_loans,default
Larry,Clay,12/1/2000,Male,505-49-6083,"4505 Stone Island, East Kellyland, AR 98179",Michigan,13156,152945.83,655,Retired,71449.06,Education Loan,Running,1,0
Paula,Roy,9/30/1988,Male,087-61-0953,"9198 Butler Stravenue Apt. 565, Lauraberg, AK 07586",Wyoming,9260,24129.09,585,Student,71139.25,Auto Loan,Completed,0,1
Debra,Owens,11/19/1986,Male,845-23-2396,"9618 Johnson Loaf, South Garyport, UT 46887",Mississippi,17446,134026.23,682,Unemployed,35537.84,Credit Card Loan,Completed,4,1
Taylor,Jacobson,9/1/1979,Female,617-74-8032,"19186 Adams Estates Suite 082, Palmerport, CT 98921",Indiana,50537,108326.55,781,Self-employed,33046.52,Auto Loan,Running,3,1
Johnny,Williams,11/24/1980,Male,435-89-1695,"9821 Joseph Causeway Suite 035, West Hannahburgh, GA 75965",Illinois,14273,95905.25,514,Retired,95978.05,Credit Card Loan,Completed,0,1
Jeffrey,Nelson,12/31/1967,Female,421-65-3553,"8816 Levy Parkways Apt. 659, Jonesside, WA 02908",Tennessee,95195,138367.23,574,Self-employed,9203.14,Education Loan,Running,0,1
Michelle,Watson,5/20/1964,Male,272-09-9343,"92801 Michele Courts, Hessville, NM 46859",Vermont,45696,37110.29,527,Retired,27252.63,Credit Card Loan,Completed,4,1
Amber,Green,9/1/1956,Female,572-67-0567,"1110 Kirk Ferry, Port Jesusfurt, SC 98615",Connecticut,97782,166172.88,422,Self-employed,64346.8,Personal Loan,Completed,4,1
Gabriel,Hill,6/22/2001,Female,351-74-4588,"272 Winters Trail Suite 452, Rodriguezshire, MN 23394",Mississippi,18974,74882.39,564,Self-employed,72333.15,Education Loan,Running,5,1
Christian,Johnson,2/19/1984,Female,068-10-5452,"2050 Gibson Mills, Raymondberg, NV 03544",Oklahoma,53497,115459.93,648,Self-employed,69772.27,Education Loan,Completed,0,0
Candice,Walker,11/3/1966,Male,387-89-6146,"287 William Cliffs Suite 761, North Lisaville, WV 09309",Connecticut,64808,39026.36,654,Retired,87218.82,Education Loan,Running,5,0
Maria,Johnson,7/2/2002,Male,462-62-9083,"317 Jeremy Overpass Suite 542, Lake Ann, ID 13474",Maryland,20392,66817.16,442,Employed,20092.89,Personal Loan,Running,0,1
Rebecca,Cortez,4/12/2001,Male,270-53-1251,"67880 Charles Ridge Suite 980, Rachelborough, OH 80100",Illinois,88594,176453.34,795,Retired,35664.24,Auto Loan,Completed,3,1
Charles,Davidson,8/27/1980,Male,530-34-2670,"9948 Richard Mission, East David, WV 51119",Alabama,32449,55447.64,431,Retired,73137.91,Education Loan,Completed,3,1
Amy,Barnes,3/6/1995,Female,760-68-0670,"363 Megan Hills, North Vicki, NJ 25108",South Carolina,96112,33436.31,660,Retired,49445.68,Home Loan,Running,3,0
Meghan,Alexander,8/26/1978,Female,219-70-8282,"61382 Elizabeth Stream, Brendaview, MA 87171",Rhode Island,30882,60391.78,664,Unemployed,57770.91,Personal Loan,Running,0,1
Kayla,Dennis,7/13/1983,Male,442-40-1241,"709 Sarah Mission Apt. 401, Port Shelia, GA 41962",Delaware,29245,141352.09,606,Student,95134.1,Personal Loan,Completed,3,1
Stephen,Elliott,9/2/1986,Female,173-94-9949,"46486 Shawn Stravenue, Coxport, CT 30799",North Carolina,70837,64471.48,391,Unemployed,63088.93,Home Loan,Running,3,1
Charles,Blair,6/24/1997,Female,314-18-9011,"4312 Derek Walk Apt. 511, Christinaside, IN 54934",Oklahoma,33057,149189.03,449,Employed,86651.71,Credit Card Loan,Completed,2,1
Gordon,Keller,9/4/1963,Male,772-51-8645,"296 Parsons Manor, Vegatown, SD 13363",Hawaii,52509,60958.85,798,Retired,63259.58,Home Loan,Running,3,0
Kelsey,Weber,2/18/1998,Male,409-67-6998,"88534 Mark Overpass, East James, MA 71830",Maine,73784,50574.14,436,Retired,47803.35,Credit Card Loan,Completed,2,1
Arthur,Ballard,4/20/1982,Female,593-43-8279,"550 Gardner Divide, Port Pamelaland, RI 44129",Missouri,44370,169312.08,323,Unemployed,97022.21,Education Loan,Completed,2,1
Brittany,Thomas,2/19/1959,Male,416-28-8205,"0790 Carl Points, Matthewmouth, GA 58101",New York,75420,22017.72,731,Student,23169.07,Education Loan,Running,2,1
Kyle,Meyer,10/16/2002,Male,226-57-8080,"3657 Gill Ranch, Jonathanville, ME 58481",Hawaii,87965,199651.18,550,Employed,28072.29,Education Loan,Completed,4,1
Stephen,Baker,5/21/1980,Male,487-83-3731,"10316 Gomez Stream, South Brian, WV 14598",Rhode Island,35538,165126.1,608,Employed,39560.67,Auto Loan,Running,0,0
Andrew,Campbell,1/16/1979,Male,647-27-4743,"PSC 8961, Box 3963, APO AP 65352",West Virginia,74137,81212.43,368,Student,90485.09,Education Loan,Completed,3,1
Melissa,Palmer,12/2/1999,Male,207-08-8970,"8437 Erin Ramp, Robertchester, MI 68348",Connecticut,34367,48062.49,815,Employed,91064.21,Auto Loan,Completed,0,0
Thomas,Perez,11/10/1988,Female,701-15-8730,"09229 Javier Cape, Salazarmouth, IA 46256",New Jersey,74399,171774.09,718,Employed,52995.64,Credit Card Loan,Running,1,0
Alvin,Dawson,8/3/1962,Female,685-15-1140,"87297 Joseph Roads, Wardbury, ID 83979",Nevada,11385,22328.04,674,Retired,62113.61,Auto Loan,Running,2,1
Allison,Stewart,5/20/1962,Female,863-64-1235,"9582 Patrick Manors, Joshuaberg, NE 22645",Colorado,98119,133240.95,691,Unemployed,48385.64,Auto Loan,Running,1,1
Charles,Mcguire,4/13/1957,Male,744-98-5025,"65864 West Meadow Apt. 820, Andersonport, MT 60209",South Carolina,37146,28946.73,648,Retired,93678.87,Personal Loan,Running,5,1
Carla,Castillo,12/30/1965,Female,140-76-1712,"28427 Hurst Junction, Lorifurt, SC 74312",Utah,56035,80864.74,404,Employed,16375.32,Auto Loan,Running,4,1
Catherine,Anderson,11/29/1957,Female,446-77-4069,"067 Smith Rapid, Collinsmouth, IA 95363",Idaho,81799,125224.9,710,Retired,90522.01,Education Loan,Running,2,1
Kristin,Turner,2/23/1970,Male,284-05-4739,"749 Mcdonald Glen Apt. 644, Port Nathan, GA 40243",California,37204,80146.33,443,Retired,10723.12,Personal Loan,Completed,4,1
Joshua,Lee,10/6/1997,Female,825-42-6904,"6724 Andrews Court, East Paula, MS 26556",Vermont,8104,170204.31,359,Unemployed,87003.39,Education Loan,Running,2,1
George,Campos,3/11/1997,Male,847-75-2425,"265 Howell Harbor, Kristinamouth, CT 42505",Maryland,31351,84752.88,691,Student,52437.48,Auto Loan,Completed,2,0
Michelle,Fox,11/2/1978,Male,783-79-9934,"1687 Patricia Prairie Suite 948, Matthewmouth, AL 32509",Alaska,30966,52878.12,534,Unemployed,54291.45,Auto Loan,Running,3,1
Angela,Rivera,9/25/2002,Male,163-22-7643,"872 Grace Cliffs Suite 497, North Victoria, OH 97932",Tennessee,34919,54748.88,347,Student,36032.93,Credit Card Loan,Running,2,1
Charles,Rodriguez,7/18/1999,Female,497-50-5104,"Unit 8939 Box 4934, DPO AE 42161",South Dakota,15395,105884.95,330,Self-employed,23713.12,Education Loan,Completed,2,1
Timothy,Roberts,5/20/1970,Male,744-67-2503,"579 Strong Run, Evansfort, IL 78731",Virginia,24108,178124.57,386,Employed,32448.18,Auto Loan,Completed,4,1
Ryan,Alexander,8/29/2003,Male,021-60-9929,"54201 Medina Haven, Kingchester, MS 14562",Michigan,55738,60238.12,399,Retired,43144.48,Education Loan,Running,5,1
Joseph,Perez,11/7/1954,Female,489-77-5569,"6150 Lindsey Cliff, Rossfurt, IL 23788",Mississippi,67406,143208.92,371,Employed,77951.47,Education Loan,Running,5,1
Julia,Thomas,5/22/1972,Male,009-55-2653,"006 Stone Passage Apt. 470, Hallshire, PA 58473",Wyoming,74866,22199.85,531,Self-employed,91134.35,Auto Loan,Running,4,1
Brian,Lyons,7/18/1990,Female,743-13-8729,"PSC 7782, Box 1518, APO AA 92411",South Carolina,5347,63227.86,638,Self-employed,57811.58,Education Loan,Completed,2,1
Vanessa,Hawkins,2/6/1992,Male,803-41-3667,"06683 Kent Vista Suite 587, Port Judith, ID 17682",New York,19382,136058.38,791,Self-employed,35072.05,Auto Loan,Running,4,0
Edward,Navarro,1/16/1961,Male,080-90-5324,"1851 Tucker Parkways Suite 264, Hernandezmouth, OR 09912",Connecticut,16821,95610.92,811,Employed,40871.3,Auto Loan,Running,1,0
Danielle,Lloyd,10/29/1956,Female,504-74-3343,"84778 Williams Meadow Apt. 849, South Timothy, WV 36929",South Carolina,66744,108459.26,500,Student,78571.66,Credit Card Loan,Completed,5,1
Belinda,Wilson,3/22/1984,Male,837-86-1825,"33569 Taylor Mill Apt. 553, Kimmouth, OK 19586",New Mexico,76010,123406.26,343,Student,55124.22,Home Loan,Completed,3,1
Sara,Murray,1/23/1964,Male,536-24-9599,"3925 Black Harbor, Tranport, DE 43785",Michigan,79979,53069.17,668,Employed,68600.39,Personal Loan,Completed,0,0
Lisa,Kramer,2/2/1994,Male,732-35-4711,"8149 Contreras Cliffs Suite 815, North Robinside, AK 88407",Oregon,38183,21698.43,737,Retired,40993.3,Personal Loan,Completed,3,1
Gabriel,Villa,5/10/1988,Female,004-28-1207,"90222 Dwayne Forges Apt. 016, Teresaburgh, WY 44496",Alabama,36489,152443.8,360,Student,58909.13,Credit Card Loan,Completed,0,1
Marc,Carroll,11/14/1964,Male,424-95-9381,"286 Hubbard Pass Suite 166, Frankshire, MT 87619",West Virginia,37752,137066.76,370,Unemployed,9540.88,Home Loan,Running,3,1
Karen,Collins,9/13/1964,Male,397-77-9377,"792 Dean Port, Johnstonborough, OR 23888",Rhode Island,97537,164669.46,427,Unemployed,53266.88,Credit Card Loan,Completed,1,1
Nicholas,Rogers,10/25/1971,Male,566-47-8879,"637 Doris Prairie, Port Cynthia, LA 68086",Wisconsin,30911,182222.25,843,Student,93013.57,Credit Card Loan,Running,1,0
Rebecca,Richmond,4/29/1999,Female,202-55-5087,"6112 Lisa Expressway, Walshberg, MA 10175",Ohio,70130,100133.58,336,Unemployed,90833.63,Personal Loan,Completed,4,1
Sharon,Spencer,12/7/1986,Male,788-42-4275,"96660 Mitchell Forest Suite 134, North Andreamouth, CA 54911",Florida,43304,65144.69,829,Self-employed,95719.46,Home Loan,Completed,0,0
Samantha,Martinez,11/8/1965,Male,280-44-9171,"369 Jesse Meadow Apt. 852, North Marcusshire, WA 20006",Wyoming,63688,76364.45,391,Retired,53271.59,Auto Loan,Running,5,1
Hannah,Sanders,5/30/1971,Male,735-61-6057,"PSC 1230, Box 9470, APO AP 64365",Oregon,72332,67362.11,307,Self-employed,48019.02,Credit Card Loan,Running,0,1
Mary,Barron,1/26/1994,Male,432-36-4080,"316 Liu Ridge, Josephton, CT 30226",Florida,63916,158315.24,782,Retired,25854.94,Education Loan,Running,1,0
Justin,Sims,11/17/1999,Male,470-21-8829,"75318 Laurie View Suite 450, Greenland, NE 66631",Oregon,42802,179186.93,422,Retired,13277.62,Credit Card Loan,Running,4,1
Kristy,Gonzalez,2/25/1984,Male,045-28-4816,"783 Marie Wall Suite 736, North Larry, NH 23940",Rhode Island,21264,105896.76,769,Student,11086.47,Education Loan,Running,1,0
Billy,Bell,8/4/1964,Female,138-27-2268,"7445 Jacobs Mountain Suite 167, Port Codymouth, MA 54002",Alabama,70024,109311.51,665,Employed,27253.36,Home Loan,Completed,5,0
Jeffrey,Harrison,3/10/1965,Female,842-92-6566,"44083 Dennis Bypass Apt. 793, Riveraton, NE 06226",South Carolina,47019,179244.77,306,Self-employed,91739.64,Personal Loan,Running,0,1
Eric,Walker,9/13/1999,Male,317-71-0684,"7892 Tony Islands, Judithbury, WY 50030",Maryland,79177,81424.97,337,Self-employed,77720.48,Personal Loan,Completed,1,1
James,Mccoy,9/19/1994,Female,788-21-2507,"645 Paul Shoals, Hernandezland, NH 06498",Arizona,41297,163354.56,737,Student,50936.94,Credit Card Loan,Completed,0,0
Jeffrey,Wheeler,11/13/1997,Female,093-02-9606,"441 Michelle Row Suite 209, Brockville, DC 77818",Hawaii,28966,27605.18,832,Student,58935.76,Credit Card Loan,Completed,5,1
Daniel,Snyder,12/9/1970,Female,234-68-9968,"598 Perry Stravenue, South Sandra, VT 37611",Ohio,35454,184181.01,591,Student,58383.29,Home Loan,Completed,3,1
Bruce,Howard,6/26/1972,Male,659-05-3626,"117 Smith Junction, West Teresaland, IL 42098",Oklahoma,41225,84115.21,731,Student,13950.71,Home Loan,Running,5,0
Robert,Hanson,11/16/1976,Male,547-76-3974,"51813 Smith Shore Suite 164, Lake Nicholas, DE 62166",Louisiana,40016,193128.61,454,Student,90071.83,Credit Card Loan,Completed,5,1
James,Santiago,6/26/1981,Male,494-83-7693,"3460 Bennett Corners Apt. 525, New Lauren, LA 75852",South Dakota,96490,88615.93,801,Retired,8911.88,Credit Card Loan,Running,2,1
Karen,Walsh,7/26/2000,Female,561-06-4602,"423 Hannah Isle, East George, WA 27462",Maine,41503,75957.38,820,Unemployed,61728.75,Auto Loan,Running,4,1
William,Rodriguez,2/13/1999,Male,242-91-9890,"8300 Anderson Valley Apt. 257, Lake Daniel, CO 57970",Idaho,38988,176064.96,596,Self-employed,91043.52,Education Loan,Running,1,0
Michael,Padilla,2/3/1962,Female,418-67-9138,"3396 Perry Junctions, Angelberg, WV 99270",Illinois,45430,49862.36,555,Self-employed,51220.9,Personal Loan,Running,1,1
Jenna,Weaver,10/24/2000,Female,810-92-8848,"1278 Duran Camp Suite 969, Lake Brianville, VT 53434",Florida,98872,148902.73,434,Unemployed,95137.01,Home Loan,Running,3,1
Ryan,Brown,8/7/1968,Female,091-17-3568,"01542 Chelsea Stream Apt. 006, Royview, MS 53879",Minnesota,12989,50147.02,640,Unemployed,42457.59,Credit Card Loan,Running,0,1
Erik,Daniel,6/27/1981,Female,347-14-5586,"3933 Diaz Cove Apt. 499, New Madisonfurt, GA 47005",Florida,1575,91171.36,656,Student,9370.21,Home Loan,Running,5,0
Kathleen,Johnson,10/6/1981,Male,486-72-4541,"7969 Wilson Crescent Suite 953, Lake Natasha, CO 91829",Washington,20491,134630.64,633,Self-employed,11271.31,Credit Card Loan,Completed,2,0
Jennifer,Fischer,9/16/1991,Female,115-40-9137,"5744 Julie Neck Apt. 545, Bradymouth, MO 69934",Virginia,64731,35673.54,835,Self-employed,44745.65,Credit Card Loan,Completed,3,0
Steven,Duncan,11/17/1988,Female,684-65-4329,"88668 William Fort Suite 092, New Ginaberg, OH 93701",Wyoming,26560,149096.69,632,Student,97972.76,Auto Loan,Completed,2,0
Lauren,Lee,10/29/1961,Female,808-61-4574,"8157 Wilson Radial Apt. 864, Annaton, NM 31917",Idaho,72807,128774.28,655,Unemployed,61592.47,Auto Loan,Completed,1,1
Steven,Fox,4/22/1969,Male,379-74-4072,"538 Jessica Crest Suite 378, Andrewfort, TX 78401",Virginia,10127,21170.42,707,Student,32981.31,Credit Card Loan,Running,0,1
Norman,Hale,2/28/1956,Female,547-26-7821,"9807 Lauren Lights, Lake Sherry, OH 84568",Virginia,2521,32917.26,436,Unemployed,85222.36,Personal Loan,Running,4,1
Marc,Hernandez,3/20/1987,Male,314-75-5245,"61151 Morris Vista Apt. 349, Torresport, VT 24970",Iowa,71069,69667.76,772,Unemployed,31658.86,Personal Loan,Running,4,1
Angela,Roberts,3/14/1978,Male,182-01-9785,"566 Lauren Lodge, Travismouth, NC 08955",Maine,39413,130546.76,786,Self-employed,55430.59,Auto Loan,Running,3,0
Tony,Hardy,5/16/1980,Male,834-87-1777,"875 Davidson Mall, Browntown, ND 41502",Rhode Island,28303,169069.51,849,Self-employed,14263.39,Auto Loan,Completed,5,1
William,Lang,5/5/1972,Male,263-65-3197,"PSC 9722, Box 6553, APO AP 51804",Arkansas,27298,78771.42,467,Self-employed,15102.03,Auto Loan,Completed,2,1
Kevin,Strickland,5/12/1963,Male,166-60-0898,"277 Robin Skyway, Fergusonville, CT 76863",Indiana,27166,60597.13,664,Self-employed,63779.81,Personal Loan,Running,0,0
Jacqueline,Thomas,2/8/2002,Female,034-10-2405,"531 Robert Rapid, Valerieview, AL 85582",Maine,1622,91086.82,350,Self-employed,97470.93,Auto Loan,Completed,5,1
Andrew,Williams,3/3/1972,Female,688-73-7045,"119 Brian Trail, Stephanieburgh, AL 09691",Alaska,65572,37755.99,847,Self-employed,32290.84,Education Loan,Running,2,0
Timothy,Simpson,1/24/1966,Female,685-63-3922,"507 Tyler Rapid, Zoeside, NJ 10227",Missouri,78394,76783.68,496,Retired,17302.08,Education Loan,Running,1,1
Heather,Garza,7/21/1981,Male,454-49-5514,"215 Robert Parks, Garciaview, MN 91207",New Jersey,80175,56130.38,565,Self-employed,62056.79,Auto Loan,Running,5,1
Julia,Stone,3/4/1956,Male,846-96-6585,"3240 Martinez Freeway Suite 418, Port Nicole, HI 93663",Arkansas,81852,39611.64,844,Student,68976.88,Credit Card Loan,Completed,4,0
Richard,Jordan,6/6/1955,Female,253-64-1730,"6992 David Pines Suite 137, Port Nathanland, OH 97848",Nebraska,48199,185461.25,468,Employed,47739.57,Education Loan,Running,3,1
Gabriel,Odom,8/23/1969,Male,405-23-1673,"52706 Alexander Mount, Port Wesley, WV 86632",Arizona,84925,149769.54,622,Retired,60096.39,Credit Card Loan,Running,4,0
Christina,Anderson,8/4/1979,Male,011-13-8852,"6139 Edwards Stream, Baileyfurt, MS 35633",Maine,41817,131472.32,574,Unemployed,42276.81,Education Loan,Completed,5,1
Nicholas,Shelton,4/4/1983,Male,877-02-1043,"Unit 0432 Box 5930, DPO AP 17569",Florida,35360,108781.23,563,Student,45013.37,Education Loan,Running,3,1
Danielle,Martinez,8/15/1979,Male,736-33-7426,"96129 Brown Pass, Smithton, IA 18550",New Hampshire,46733,150995.62,733,Unemployed,13024.05,Credit Card Loan,Completed,4,1
Christina,Wallace,10/7/1991,Male,871-05-2321,"1435 Lauren Extensions, West Yvonneshire, SD 59280",Washington,50968,81971.92,400,Retired,27519.25,Education Loan,Completed,1,1
Jason,Wallace,8/14/1957,Female,467-41-4381,"91786 Austin Pine Apt. 414, South Jillside, PA 73970",Delaware,46332,138344.96,660,Employed,70443.41,Credit Card Loan,Running,4,0
Tiffany,Ali,1/12/1962,Female,022-80-1280,"007 Baker Forges Suite 808, Nelsonmouth, TN 21100",Tennessee,12747,157928.63,392,Employed,14166.83,Home Loan,Completed,5,1
Christina,Mcdonald,2/19/1962,Male,385-77-4591,"52828 Eric Wall Suite 262, South Richardchester, SC 72683",Louisiana,27648,193629.1,532,Retired,82755.03,Credit Card Loan,Running,3,1
Matthew,Bird,10/3/1964,Male,574-51-3638,"298 Eduardo Falls, Kelleychester, MT 66052",Alabama,63282,169612.98,586,Retired,29464.83,Credit Card Loan,Running,5,0
Timothy,Brown,6/17/1983,Male,549-92-5764,"26513 Walls Ways Apt. 210, West Mark, WY 72005",Oregon,5656,165669.12,707,Retired,9389.76,Credit Card Loan,Running,3,0
Alyssa,Brown,1/2/1982,Female,549-80-1571,"402 Katherine Union, Port Jimmy, ND 68980",North Dakota,59790,66836.32,517,Retired,5694.66,Personal Loan,Completed,1,1
Thomas,Noble,10/18/1975,Male,300-09-0357,"6413 Johnson Keys, North Scottfurt, ID 08774",Virginia,52175,144797.42,377,Unemployed,96588.64,Auto Loan,Running,4,1
Michael,Griffin,4/17/1975,Female,142-36-6033,"64261 Guzman Skyway Suite 361, Kellertown, IN 21171",Louisiana,56714,114376.09,726,Employed,65548.68,Education Loan,Running,0,1
Jeffrey,Walker,6/13/1964,Male,395-58-8339,"USCGC Williams, FPO AA 77473",Alaska,92439,96475.66,743,Retired,92112.2,Personal Loan,Completed,1,0
Kimberly,Sharp,3/23/1999,Female,714-79-8174,"8384 Cynthia Parks, Rochamouth, VT 13924",Idaho,8497,20205.14,523,Retired,12085.94,Credit Card Loan,Completed,1,1
William,Sanchez,4/3/1996,Female,668-37-8529,"50968 Smith Fields, Littlefort, AR 17064",New Jersey,39106,163782.35,319,Retired,50712.34,Personal Loan,Running,5,1
Carrie,Jones,2/18/1991,Male,340-40-9266,"7709 Wood Plain Suite 093, East Eric, CO 85784",Washington,71031,93290.68,515,Unemployed,60618.79,Education Loan,Completed,0,1
Kathy,Ramirez,6/30/1975,Female,621-78-8238,"876 Nicole Port, Vazquezshire, MI 20461",Alaska,98002,25771.95,537,Student,85868.21,Home Loan,Completed,2,1
Jenna,Morgan,7/27/1974,Female,767-62-4995,"16609 Stevens Meadows, South Jennifermouth, DE 39172",Kentucky,17187,43489.07,388,Retired,33818.93,Home Loan,Running,0,1
Robert,Short,7/5/1992,Female,874-03-0364,"USCGC Russo, FPO AE 55857",Utah,86418,197544.85,629,Employed,60049.87,Credit Card Loan,Completed,2,0
Janice,Johnson,4/12/1961,Female,160-75-3644,"74518 Martin Point Apt. 785, Hollyborough, WI 17725",Nevada,44411,170814.28,320,Retired,65574.51,Auto Loan,Running,3,1
Joshua,Mendez,11/15/1984,Male,267-67-4116,"99574 Higgins Light, Stephenbury, DC 82527",Nebraska,6490,26576.39,384,Employed,35121.13,Credit Card Loan,Running,3,1
Jonathan,Ramirez,1/3/1992,Female,631-83-9059,"485 James Land Apt. 448, Martinezton, NY 44721",Wyoming,78431,106137.95,475,Self-employed,12855.26,Home Loan,Completed,1,1
Robert,Foster,5/22/1998,Female,333-05-1158,"USS Santiago, FPO AA 55956",Maine,68207,167781,653,Student,6206.63,Auto Loan,Running,3,1
Richard,Gill,6/26/1979,Male,084-50-4937,"PSC 3345, Box 4237, APO AE 39356",Missouri,83305,191904.29,548,Employed,78517.27,Auto Loan,Completed,5,1
Meredith,Flowers,6/30/2003,Male,051-56-5809,"763 David Shore Apt. 298, New Kelly, DC 53415",Colorado,39306,138593.51,499,Employed,30784.9,Education Loan,Completed,1,1
Michael,Ramirez,4/10/2004,Female,892-87-1241,"882 Vincent Radial, Taylorport, NV 51843",Alabama,49723,164139.79,763,Employed,87555.33,Personal Loan,Completed,2,0
Stephen,Vargas,4/19/1957,Male,408-38-7002,"106 Brennan Roads Suite 015, Kennethville, SD 71520",Nevada,51857,164768.18,457,Employed,81480.89,Home Loan,Running,1,1
Jessica,Hayes,10/25/1961,Male,750-63-4374,"014 Michelle Trail Suite 297, Lake Deniseton, VA 53344",Louisiana,68237,175898.57,580,Unemployed,48914.3,Education Loan,Completed,2,1
Michael,Kramer,9/7/1990,Male,898-26-8374,"5391 Barry Shoals Apt. 047, West Jamieburgh, VT 99770",Utah,56391,137277.79,558,Unemployed,39176.22,Auto Loan,Running,3,1
Joseph,Schultz,9/30/1972,Male,894-26-3392,"3943 Jared Mountain Apt. 449, Dodsonville, HI 50381",Virginia,816,43025.97,513,Unemployed,44121.16,Personal Loan,Running,2,1
Judith,Nixon,9/8/1963,Female,080-80-5020,"78024 Christopher Groves, Port Janet, DC 22655",Missouri,38808,193203.13,574,Unemployed,86352.65,Home Loan,Running,0,1
Theresa,Buck,11/12/1971,Male,137-96-7951,"314 Knox Garden, West Elizabeth, LA 75313",Montana,81646,20280.6,464,Student,48198.94,Personal Loan,Running,3,1
Luis,Hicks,3/13/1999,Female,747-21-4898,"31850 Petersen Flats Apt. 599, Edgarfort, NM 15127",Mississippi,91490,75260.31,352,Employed,73014.63,Credit Card Loan,Running,4,1
Jeffrey,Crawford,7/13/1974,Female,322-76-8520,"0013 Green Unions Suite 616, West Howard, WA 34043",Idaho,86616,137060.31,692,Retired,86417.79,Personal Loan,Completed,3,0
Richard,Cabrera,4/13/1981,Female,374-05-4172,"07182 James Station, Rubioshire, DE 72232",Colorado,96295,196535.61,373,Employed,47064.75,Education Loan,Running,1,1
Denise,Gutierrez,7/21/1978,Male,276-02-1998,"41347 Walters Lake, West Josephport, FL 36922",Kansas,64173,58221.31,462,Self-employed,73092.02,Home Loan,Running,3,1
Carolyn,Fitzgerald,9/5/1959,Male,169-03-2170,"15363 Cheyenne Turnpike, North Theresahaven, CA 40285",Alaska,64396,144922.41,429,Self-employed,90913.5,Home Loan,Running,3,1
Randy,Glover,10/10/1974,Male,748-08-0178,"55040 Hannah Forges, Martinchester, KS 42739",Minnesota,47338,166210.5,598,Employed,16003.76,Personal Loan,Running,1,0
